gameId;strategy;wins;losses
257;CallingRulesWithUctMonteCarloStrategy;2382;2034
258;CallingRulesWithRandomPlay;2050;2398
258;CallingRulesWithUctMonteCarloStrategy;2398;2050
259;CallingRulesWithRandomPlay;2064;2416
259;CallingRulesWithUctMonteCarloStrategy;2416;2064
260;CallingRulesWithRandomPlay;2080;2432
260;CallingRulesWithUctMonteCarloStrategy;2432;2080
261;CallingRulesWithRandomPlay;2080;2432
261;CallingRulesWithUctMonteCarloStrategy;2432;2080
262;CallingRulesWithRandomPlay;2080;2432
262;CallingRulesWithUctMonteCarloStrategy;2432;2080
263;CallingRulesWithRandomPlay;2096;2448
263;CallingRulesWithUctMonteCarloStrategy;2448;2096
264;CallingRulesWithRandomPlay;2096;2448
264;CallingRulesWithUctMonteCarloStrategy;2448;2096
265;CallingRulesWithRandomPlay;2110;2466
265;CallingRulesWithUctMonteCarloStrategy;2466;2110
266;CallingRulesWithRandomPlay;2126;2482
266;CallingRulesWithUctMonteCarloStrategy;2482;2126
267;CallingRulesWithRandomPlay;2126;2482
267;CallingRulesWithUctMonteCarloStrategy;2482;2126
268;CallingRulesWithRandomPlay;2140;2500
268;CallingRulesWithUctMonteCarloStrategy;2500;2140
269;CallingRulesWithRandomPlay;2156;2516
269;CallingRulesWithUctMonteCarloStrategy;2516;2156
270;CallingRulesWithRandomPlay;2172;2532
270;CallingRulesWithUctMonteCarloStrategy;2532;2172
271;CallingRulesWithRandomPlay;2186;2550
271;CallingRulesWithUctMonteCarloStrategy;2550;2186
272;CallingRulesWithRandomPlay;2198;2570
272;CallingRulesWithUctMonteCarloStrategy;2570;2198
273;CallingRulesWithRandomPlay;2212;2588
273;CallingRulesWithUctMonteCarloStrategy;2588;2212
274;CallingRulesWithRandomPlay;2212;2588
274;CallingRulesWithUctMonteCarloStrategy;2588;2212
275;CallingRulesWithRandomPlay;2226;2606
275;CallingRulesWithUctMonteCarloStrategy;2606;2226
276;CallingRulesWithRandomPlay;2226;2606
